district,Area,Production,Yield,Crop Type,season,districe,first_rain_date,last_rain_date,mean_dry_spell_length,total_rainfall,rainy_days,average_tmax,average_tmin,average_humidity,first_rain_category,last_rain_category
Kutch,767.94,1807.269996,2353.4,CASTOR,2016,Kachchh,2016-06-22,2016-10-05,8.714285714285714,345.0,61,32.63333333333333,23.967759562841533,69.5846994535519,on_time,early
Banaskantha,1015.35,2200.6695900000004,2167.4,CASTOR,2016,Banaskantha,2016-06-10,2016-10-08,7.583333333333333,775.5,92,31.19890710382514,22.58415300546448,70.0,on_time,early
Patan,823.75,1559.441125,1893.1,CASTOR,2016,Patan,2016-06-12,2016-10-07,6.6,552.3,84,32.125683060109296,23.293442622950824,69.34972677595628,on_time,early
Mehsana,663.17,1552.547287,2341.1,CASTOR,2016,Mehesana,2016-06-14,2016-10-08,9.0,612.5,84,32.00491803278688,23.353005464480876,70.01092896174863,on_time,early
Sabarkantha,173.22,327.836172,1892.6,CASTOR,2016,Sabarkantha,2016-06-19,2016-10-08,11.5,624.2,91,31.564480874316946,23.16338797814208,70.44262295081967,on_time,early
Aravalli,192.6,351.18684,1823.4,CASTOR,2016,Arvalli,2016-06-19,2016-10-08,11.5,624.2,91,31.62950819672131,23.249726775956283,69.7431693989071,on_time,early
Gandhinagar,242.84,542.698832,2234.8,CASTOR,2016,Gandhinagar,2016-06-19,2016-10-09,9.1,681.4,92,32.128961748633884,23.56229508196721,69.37704918032787,on_time,on_time
Ahmedabad,443.69,714.8289589999999,1611.1,CASTOR,2016,Ahmedabad,2016-06-19,2016-10-09,6.714285714285714,710.3999999999999,89,32.197814207650275,23.750819672131147,69.46448087431693,on_time,on_time
Surendranagar,435.72,749.4819719999999,1720.1,CASTOR,2016,Surendranagar,2016-06-10,2016-10-09,6.866666666666666,463.6,80,33.368852459016395,24.0655737704918,64.61748633879782,on_time,on_time
Morbi,102.6953,284.46598099999994,2770.0,CASTOR,2016,Morbi,2016-06-13,2016-10-08,7.384615384615385,477.2000000000001,87,32.668306010928966,23.97322404371585,68.90710382513662,on_time,early
Rajkot,116.75,208.39875,1785.0,CASTOR,2016,Rajkot,2016-06-13,2016-10-08,7.076923076923077,524.0999999999999,91,31.81311475409837,23.42513661202186,69.83060109289617,on_time,early
Jamnagar,82.9,305.87613,3689.7,CASTOR,2016,Jamnagar,2016-06-10,2016-10-07,5.8125,559.5999999999999,90,31.411475409836065,24.8103825136612,71.93989071038251,on_time,early
Devbhumi Dwarka,6.51,11.749899,1804.9,CASTOR,2016,Devbhumi Dwarka,2016-06-14,2016-10-05,12.625,357.90000000000003,82,29.73224043715846,26.05792349726776,76.37704918032787,on_time,early
Porbandar,7.45,17.646815,2368.7,CASTOR,2016,Porbandar,2016-06-10,2016-10-08,8.3,591.7,100,29.62568306010928,24.8448087431694,78.02185792349727,on_time,early
Junagadh,4.68,8.857835999999999,1892.7,CASTOR,2016,Junagadh,2016-06-12,2016-10-08,9.75,596.6000000000001,105,30.75027322404372,23.27868852459016,76.33879781420765,on_time,early
Gir Somnath,0.85,1.838975,2163.5,CASTOR,2016,Gir Somnath,2016-06-12,2016-10-09,9.5,654.0,107,29.459016393442624,24.91912568306011,79.1584699453552,on_time,on_time
Amreli,9.86,25.503876,2586.6,CASTOR,2016,Amreli,2016-06-10,2016-10-09,7.230769230769231,529.4,89,31.659562841530057,23.133333333333333,69.91256830601093,on_time,on_time
Bhavnagar,0.33,0.684189,2073.3,CASTOR,2016,Bhavnagar,2016-06-20,2016-10-08,8.636363636363637,676.8,88,30.66338797814208,24.98633879781421,72.72677595628416,on_time,early
Botad,0.59,1.223247,2073.3,CASTOR,2016,Botad,2016-06-10,2016-10-09,6.055555555555555,515.8,74,33.262841530054644,23.87704918032787,64.22950819672131,on_time,on_time
Anand,6.4,9.85344,1539.6,CASTOR,2016,Anand,2016-06-19,2016-10-14,8.4,685.2,99,32.02459016393443,23.930601092896172,70.43169398907104,on_time,on_time
Kheda,53.91,83.215476,1543.6,CASTOR,2016,Kheda,2016-06-19,2016-10-09,7.666666666666667,676.2,91,32.30382513661202,23.908196721311477,70.06557377049181,on_time,on_time
Panchmahal,29.32,42.90102400000001,1463.2,CASTOR,2016,Panchmahal,2016-06-19,2016-10-11,9.0,699.3999999999999,102,31.131147540983605,23.22185792349727,72.44262295081967,on_time,on_time
Mahisagar,6.7,7.376030000000001,1100.9,CASTOR,2016,Mahisagar,2016-06-19,2016-10-09,7.166666666666667,719.4,97,31.80710382513661,23.60655737704918,69.17486338797814,on_time,on_time
Dahod,0.0,0.0,0.0,CASTOR,2016,Dahod,2016-06-19,2016-10-10,10.857142857142858,836.2,107,30.31584699453552,22.41475409836066,73.10928961748634,on_time,on_time
Vadodara,195.9,353.75622000000004,1805.8,CASTOR,2016,Vadodara,2016-06-19,2016-10-14,8.0,735.8,103,31.743715846994537,23.65792349726776,73.16939890710383,on_time,on_time
Chhota Udaipur,13.65,30.539145000000005,2237.3,CASTOR,2016,Chhotaudepur,2016-06-15,2016-10-10,12.166666666666666,795.2,110,30.65956284153005,22.719672131147544,73.91256830601093,on_time,on_time
Narmada,2.42,5.017386,2073.3,CASTOR,2016,Narmada,2016-06-15,2016-10-12,14.4,874.1999999999999,111,31.342622950819667,23.618032786885248,74.5792349726776,on_time,on_time
Bharuch,35.65,58.818935,1649.9,CASTOR,2016,Bharuch,2016-06-15,2016-10-11,11.285714285714286,878.3,104,31.48142076502732,23.83606557377049,74.42622950819673,on_time,on_time
Surat,0.6,1.24398,2073.3,CASTOR,2016,Surat,2016-06-15,2016-10-10,12.833333333333334,1055.0,106,30.153551912568307,24.80163934426229,75.75409836065573,on_time,on_time
Dang,0.0,0.0,0.0,CASTOR,2016,Dang,2016-06-11,2016-10-09,13.2,752.5000000000001,117,29.93715846994536,23.051366120218574,75.77049180327869,on_time,on_time
Navsari,0.0,0.0,0.0,CASTOR,2016,Navsari,2016-06-12,2016-10-10,8.75,1059.3,113,30.020765027322405,24.536612021857923,76.60655737704919,on_time,on_time
Valsad,0.0,0.0,0.0,CASTOR,2016,Valsad,2016-06-01,2016-10-10,15.25,1507.6,122,29.281420765027324,24.816939890710383,77.90163934426229,early,on_time
Tapi,1.52,3.151416,2073.3,CASTOR,2016,Tapi,2016-06-10,2016-10-10,13.4,751.1,116,30.61857923497268,23.55409836065574,75.63387978142076,on_time,on_time
Kutch,424.25,2098.428547764706,840.8552813671184,TOTAL COTTON (LINT),2016,Kachchh,2016-06-22,2016-10-05,8.714285714285714,345.0,61,32.63333333333333,23.967759562841533,69.5846994535519,on_time,early
Banaskantha,333.11,1288.9593476470586,657.8099999999998,TOTAL COTTON (LINT),2016,Banaskantha,2016-06-10,2016-10-08,7.583333333333333,775.5,92,31.19890710382514,22.58415300546448,70.0,on_time,early
Patan,392.96,1265.8172425411767,547.610268811075,TOTAL COTTON (LINT),2016,Patan,2016-06-12,2016-10-07,6.6,552.3,84,32.125683060109296,23.293442622950824,69.34972677595628,on_time,early
Mehsana,326.71,1391.137050282353,723.8630545376634,TOTAL COTTON (LINT),2016,Mehesana,2016-06-14,2016-10-08,9.0,612.5,84,32.00491803278688,23.353005464480876,70.01092896174863,on_time,early
Sabarkantha,640.39,1925.9887464,511.27920000000006,TOTAL COTTON (LINT),2016,Sabarkantha,2016-06-19,2016-10-08,11.5,624.2,91,31.564480874316946,23.16338797814208,70.44262295081967,on_time,early
Aravalli,376.65,1152.955782,520.3836,TOTAL COTTON (LINT),2016,Arvalli,2016-06-19,2016-10-08,11.5,624.2,91,31.62950819672131,23.249726775956283,69.7431693989071,on_time,early
Gandhinagar,213.14,919.4739238588236,733.3704,TOTAL COTTON (LINT),2016,Gandhinagar,2016-06-19,2016-10-09,9.1,681.4,92,32.128961748633884,23.56229508196721,69.37704918032787,on_time,on_time
Ahmedabad,1069.97,2412.094609694117,383.2407297849472,TOTAL COTTON (LINT),2016,Ahmedabad,2016-06-19,2016-10-09,6.714285714285714,710.3999999999999,89,32.197814207650275,23.750819672131147,69.46448087431693,on_time,on_time
Surendranagar,3597.25,7811.911411411766,369.17782749044414,TOTAL COTTON (LINT),2016,Surendranagar,2016-06-10,2016-10-09,6.866666666666666,463.6,80,33.368852459016395,24.0655737704918,64.61748633879782,on_time,on_time
Morbi,1775.4319,4302.665832212471,411.9860589843632,TOTAL COTTON (LINT),2016,Morbi,2016-06-13,2016-10-08,7.384615384615385,477.2000000000001,87,32.668306010928966,23.97322404371585,68.90710382513662,on_time,early
Rajkot,2161.5,839.796151764706,66.0492,TOTAL COTTON (LINT),2016,Rajkot,2016-06-13,2016-10-08,7.076923076923077,524.0999999999999,91,31.81311475409837,23.42513661202186,69.83060109289617,on_time,early
Jamnagar,1729.12,1477.0751260235295,145.21997977236978,TOTAL COTTON (LINT),2016,Jamnagar,2016-06-10,2016-10-07,5.8125,559.5999999999999,90,31.411475409836065,24.8103825136612,71.93989071038251,on_time,early
Devbhumi Dwarka,277.75,734.5971211764706,449.6184,TOTAL COTTON (LINT),2016,Devbhumi Dwarka,2016-06-14,2016-10-05,12.625,357.90000000000003,82,29.73224043715846,26.05792349726776,76.37704918032787,on_time,early
